id,listing_url,name,room_type,neighbourhood,latitude,longitude,price,availability_30,calendar_last_scraped,number_of_reviews,review_scores_accuracy
9776134,https://www.airbnb.com/rooms/9776134,Urban Edwardian in the Heart of SF,Private room,,37.77037944,-122.4222524,$95.00 ,0,4/2/2017,6,10
12266463,https://www.airbnb.com/rooms/12266463,Designer's Nest in the Mission,Entire home/apt,Mission District,37.76725835,-122.4223948,$194.00 ,20,4/2/2017,27,10
17574877,https://www.airbnb.com/rooms/17574877,"BRAND NEW, bright and charming, Mission 1BD",Entire home/apt,,37.76006538,-122.4186564,$215.00 ,3,4/2/2017,0,
1928125,https://www.airbnb.com/rooms/1928125,Tropical Oasis Home with Garden & Parking,Entire home/apt,Mission District,37.75454377,-122.4111001,$155.00 ,0,4/2/2017,21,10
9726878,https://www.airbnb.com/rooms/9726878,Mission Victorian for Super Bowl,Entire home/apt,Mission District,37.75469124,-122.4226532,$800.00 ,0,4/2/2017,0,
2304925,https://www.airbnb.com/rooms/2304925,Private Room in the Mission District!,Private room,Mission District,37.75239589,-122.4129407,$45.00 ,0,4/2/2017,4,10
212297,https://www.airbnb.com/rooms/212297,"Modern, bright, sexy Mission flat",Private room,Mission District,37.7674576,-122.4232362,$120.00 ,17,4/2/2017,114,10
11069241,https://www.airbnb.com/rooms/11069241,Contemporary Mission Victorian,Entire home/apt,Mission District,37.75796429,-122.4197255,$150.00 ,0,4/2/2017,3,10
748256,https://www.airbnb.com/rooms/748256,Valencia Corridor Center Of It All!,Private room,Mission District,37.75495392,-122.4168309,$110.00 ,7,4/2/2017,383,10
8088394,https://www.airbnb.com/rooms/8088394,Beautiful Mission Apt. w/ Roofdeck,Entire home/apt,Mission District,37.76400671,-122.4175282,$400.00 ,0,4/2/2017,0,
2557977,https://www.airbnb.com/rooms/2557977,"Stunning Room in Mission Oasis, Walkers' Paradise",Private room,Mission District,37.74991628,-122.4082173,$135.00 ,13,4/2/2017,79,10
3985721,https://www.airbnb.com/rooms/3985721,Mission bedroom close to BART,Private room,Mission District,37.75243517,-122.4152028,$100.00 ,0,4/2/2017,13,10
13249335,https://www.airbnb.com/rooms/13249335,[10min Moscone] Cozy Room with sunny deck,Private room,Mission District,37.75219564,-122.4170061,$100.00 ,0,4/2/2017,3,10
17791068,https://www.airbnb.com/rooms/17791068,Cozy Cottage With Fire Pit In The Mission,Entire home/apt,Mission District,37.75465229,-122.4101758,$200.00 ,2,4/2/2017,0,
16673580,https://www.airbnb.com/rooms/16673580,Charming Victorian in the Mission,Private room,,37.75767012,-122.4174079,$70.00 ,1,4/2/2017,6,10
4500244,https://www.airbnb.com/rooms/4500244,Sunny Sweet Mission Dolores Apartment,Entire home/apt,Mission District,37.75742313,-122.4236494,$145.00 ,1,4/2/2017,9,10
715543,https://www.airbnb.com/rooms/715543,Marie's sunny spacious Mission loft,Entire home/apt,Mission District,37.76374505,-122.4124976,$180.00 ,0,4/2/2017,4,10
4926230,https://www.airbnb.com/rooms/4926230,Two queen beds apartment,Entire home/apt,,37.75750508,-122.4235015,$200.00 ,0,4/2/2017,0,
12905241,https://www.airbnb.com/rooms/12905241,2 BR Eclectic Mission Loft,Entire home/apt,Mission District,37.76173049,-122.4256579,"$1,750.00 ",29,4/2/2017,0,
16117102,https://www.airbnb.com/rooms/16117102,North Bernal /Mission Room for all,Private room,Mission District,37.75522798,-122.4179171,$450.00 ,30,4/2/2017,0,
4295657,https://www.airbnb.com/rooms/4295657,SF gorgeous top flat mission area,Entire home/apt,Mission District,37.75886312,-122.423116,$300.00 ,0,4/2/2017,7,10
224579,https://www.airbnb.com/rooms/224579,Beautiful luxury house w/ Deck,Entire home/apt,Mission District,37.75631937,-122.404779,$150.00 ,1,4/2/2017,24,10
3042598,https://www.airbnb.com/rooms/3042598,Spacious studio available,Entire home/apt,Mission District,37.74852106,-122.4212581,$126.00 ,0,4/2/2017,22,9
9465129,https://www.airbnb.com/rooms/9465129,Lovely 2 bdrm in the Misson,Entire home/apt,Mission District,37.75574133,-122.4115589,$100.00 ,0,4/2/2017,1,10
7351575,https://www.airbnb.com/rooms/7351575,Single bedroom in Dolores Park flat,Private room,Mission District,37.76012321,-122.4250197,$99.00 ,0,4/2/2017,10,10
6600081,https://www.airbnb.com/rooms/6600081,CLOUD 9: Bright-Modern-Super Clean :),Private room,Mission District,37.75300435,-122.403943,$85.00 ,2,4/2/2017,94,10
7679171,https://www.airbnb.com/rooms/7679171,Pre-war Studio Apartment,Entire home/apt,Noe Valley,37.75298744,-122.4242477,$150.00 ,0,4/2/2017,9,10
